experiment,min_RMSE,min_year,simulation
expAE01,0.0011387579273957,2026,ULB_fETISh-KoriBU1
expAE02,0.0017394814668406,2023,ULB_fETISh-KoriBU1
expAE03,0.0026298487836949,2027,ULB_fETISh-KoriBU1
expAE04,0.0023705136590821,2017,ULB_fETISh-KoriBU1
expAE05,0.0,2025,ULB_fETISh-KoriBU1
expAE06,0.0024599982819026,2035,ULB_fETISh-KoriBU1
expAE07,0.0029402603254435,2026,ULB_fETISh-KoriBU1
expAE08,0.0016104469051828,2024,ULB_fETISh-KoriBU1
expAE09,0.0021805554177221,2025,ULB_fETISh-KoriBU1
expAE10,0.0029402603254435,2032,ULB_fETISh-KoriBU1
expAE11,0.0031530779245974,2028,ULB_fETISh-KoriBU1
expAE12,0.0022775158547914,2030,ULB_fETISh-KoriBU1
expAE13,0.0023705136590821,2017,ULB_fETISh-KoriBU1
expAE14,0.0017394814668406,2025,ULB_fETISh-KoriBU1
expAE01,0.0080790307215282,2040,ULB_fETISh-KoriBU2
expAE02,0.0073211891687442,2040,ULB_fETISh-KoriBU2
expAE03,0.0079713054917699,2035,ULB_fETISh-KoriBU2
expAE04,0.007232084155161,2043,ULB_fETISh-KoriBU2
expAE05,0.0081853383287236,2018,ULB_fETISh-KoriBU2
expAE06,0.0080790307215282,2024,ULB_fETISh-KoriBU2
expAE07,0.00769539770593,2022,ULB_fETISh-KoriBU2
expAE08,0.0084196242438301,2020,ULB_fETISh-KoriBU2
expAE09,0.0078895463510848,2019,ULB_fETISh-KoriBU2
expAE10,0.0080522345259144,2040,ULB_fETISh-KoriBU2
expAE11,0.0078069310236935,2040,ULB_fETISh-KoriBU2
expAE12,0.0082641716567893,2033,ULB_fETISh-KoriBU2
expAE13,0.0074092226624488,2038,ULB_fETISh-KoriBU2
expAE14,0.0080790307215282,2019,ULB_fETISh-KoriBU2
